,solution_0,solution_1,solution_2,solution_3,solution_4,solution_5,solution_6,solution_7,solution_8,solution_9,solution_10,solution_11,solution_12,solution_13,solution_14,solution_15,solution_16,solution_17,solution_18,solution_19,solution_20,solution_21,solution_22,solution_23,solution_24,objective,measures_0,measures_1,threshold,pos_0,pos_1,index
10,0.05,0.0401170160200319,-0.05416977904931743,-0.2093447845085108,-0.24297395450420203,0.11943127126897407,-0.2790914433065035,0.10454717981066391,-0.15553844154879226,0.4860723732852688,-0.020961371412860093,0.3499249246440924,-0.1881946667177086,0.32261326571721244,0.0015464350960439494,0.1388466110401484,0.3485347052274274,-0.1139220155278087,-0.0843116049049682,-0.2901093317587765,-0.14282846155975268,0.35545228411788055,0.09403947351918983,0.4068884688623837,-0.06417318209077379,-13.980038033920437,0.1601508136324274,1.5047984970487864,-13.980038033920437,-9.506104013763544,-7.196019691202357,85
11,0.051807968497433875,-0.20398484891948418,0.05335366924980844,-0.28041967085440167,-0.1679170170466105,0.05069717518587101,-0.015026950565131049,-0.15661283828693157,-0.3344244738104588,0.4002447037540233,-0.02342479354373747,0.5930797408611375,-0.07551836998860442,0.3207879807474436,-0.1368657856989393,-0.02618264510545213,0.10979991442972756,0.06062964205064297,-0.2556554572143569,-0.4383099504409238,-0.3497736739924144,0.1439085585895063,-0.17774675808411738,-0.1562282179529706,-0.08058632975704294,-14.47816184716281,0.2207799596563464,-1.0,-14.47816184716281,-10.722468554937596,-9.100682433481326,112
12,0.05,-0.012806809206080991,0.12494114840995782,-0.034236078850774065,-0.10182644860014384,0.042960529580162415,-0.276195434201496,0.014091643197865336,0.23277619097866273,0.3273964882306282,-0.0543741807573015,0.3654396622377549,-0.18423621554326436,0.23163369599478667,-0.2688178218552064,-0.32920762021931765,0.1988272641647456,-0.20624063527034264,-0.2845229711196756,-0.2943495114949385,-0.04411646859303938,0.9217127750257279,-0.4147254788494295,0.29809664305682776,-0.30235793597897764,-14.45993820086666,0.5423367915007188,-1.0,-14.45993820086666,-10.694544053405263,-9.363737655955168,280
13,0.07312583277662466,-0.13712386999462695,0.04880177916924938,0.04025484604920107,-0.3735234051624556,0.12015193566307505,-0.1572745693208106,-0.04827173039099483,0.31117089040034296,-0.3648210414082061,-0.11987810785812386,0.03902339340765269,0.10732573220302503,-0.1726392120107437,-0.022606849478103312,-0.3097005211650361,-0.16093762007216156,0.23496279419885704,-0.21418767811419695,-0.13209730338931447,-0.45300880986683967,0.3410474435297074,0.09988581994226226,-0.0703547805419541,0.3488900514021024,-13.76925280024221,0.6309176996671799,-1.0,-13.76925280024221,-6.289311417007514,-0.6440929798626761,336
14,0.07441183961263416,0.5659709074182807,0.5209359235447639,-0.18907332160263263,-0.4355326565840596,-0.16777558153149869,-0.7527767695840081,-0.20101624254781558,-0.19825718936981465,0.47411671529159405,-0.005039920180729629,0.5296748931387077,0.07639695445693673,0.4947079080753036,0.10954070031655369,0.0810109322215249,0.500948282039852,-0.8,-0.5906348256143669,-0.6543551132995056,-0.4465378074515123,0.48871231307301327,0.43149093928087817,0.2877295730927639,0.776789443739372,-14.275359732304256,2.4783131195775194,-1.0,-14.275359732304256,-10.322762111710606,-9.654694736946052,532
15,0.06663248599738221,-0.13329958427451805,0.31261359719565657,-0.12289227568616282,-0.24548060220169476,-0.16801190541134353,0.04946998139037647,0.10326914919129068,0.19941527670601158,-0.122943615553851,-0.5293672198010665,-0.25736593619961284,-0.2267880911609011,0.1414517434199963,-0.20407405192488082,-0.27276697114143605,0.19644540254313803,0.13088707987511652,-0.5327214005247911,-0.08259530602232648,-0.21553373996624273,-0.18583823494655557,-0.9654729501684347,0.06442213664878804,0.20856818849699993,-13.976810080601528,0.33681452703459197,-1.0,-13.976810080601528,-9.721919769087087,-9.933031475259945,168
16,0.058514786125911725,0.3322116896291896,-0.23900338294659917,-0.1944644106859416,0.1683795396759269,0.5054685448273378,-0.03914246649656544,0.004328047437801658,-0.06480750612944472,-0.384858752033996,-0.10583248853241572,0.1933283361046103,-0.22474773758086314,-0.2964835231341936,-0.2927353528984861,-0.01833221175977251,-0.09447123819452319,0.06945689197059328,0.2511425867202235,0.27529322837319514,0.40995928218883226,0.6843731661843719,0.2841743056017792,0.07825289253244297,0.22901718335512403,-14.2574081811069,0.4069421888086295,5.141949298614871,-14.2574081811069,-10.28504474687389,-9.570741033521644,229
17,0.05,0.3844212839184546,-0.44353847992932394,-0.17266212533280223,0.45346124314534425,0.4735769747187851,0.04957799729724206,-0.007772936009089931,-0.04392171820151089,-0.2587362096141123,0.030509868359201886,0.11648261324685115,-0.38964640081483776,0.011564059334316368,-0.3550938369534317,-0.26646764519467575,-0.0711232146836478,0.06435079470529201,0.38459382809280246,0.21147170831036405,0.347616078460698,0.4190096288348889,0.23403990207022987,0.0635140047457631,0.10610833942197338,-13.715602970729945,0.07962304070667325,9.200235225550518,-13.715602970729945,-9.198533840892267,-9.414041783914033,37
18,0.05599325846921542,-0.1904444087791336,0.17554016767694344,0.06010309477988943,-0.060994466844506885,0.020784821130882637,-0.3053050347333586,-0.041079385010999066,0.10799739518084497,0.4656130694575189,0.01985959477033305,0.33527582108099874,0.09080373523194962,0.2842280882417663,-0.3671787467060784,-0.5529840219460038,0.3082988694642067,0.14604239033640243,-0.3592427304660278,-0.04995422950834544,0.06235940091501179,0.6699858328347806,-0.5116950738637397,0.32661590158443793,-0.606723360705729,-14.3950091659277,0.5531757372082169,9.90332914608608,-14.3950091659277,-10.55842886385159,-9.277350217148628,317
19,0.05,0.06618982209394568,0.29026122824050715,-0.3063773856102908,0.014721623717028329,0.31820667833488425,-0.4081550540612173,-0.27470585861955354,0.37456188915764926,0.273338170494783,0.36121763145725433,0.04907292275531028,-0.19892526779998704,0.20445822894571042,-0.2541021697708679,-0.35818347819162083,0.03224903639809079,0.001546386404956468,-0.15639054067027724,-0.10632785867670752,-0.2437604822557063,1.2355197705015555,-0.2896891468925016,0.12679305213165767,0.1104727045156591,-13.875687804657348,0.09655792023814376,7.298423510800843,-13.875687804657348,-9.514192816784327,-9.394816539923099,35
